Control item (Have you answered this questionnaire randomly?) 1 = No; 5 = Yes,Age,Sex,Education,Nationality,Religion,Political tendency (1 = Left-wing), PSEUDO 1, PSEUDO 2, PSEUDO 3, PSEUDO 4 (R) , PSEUDO 5, PSEUDO 6, PSEUDO 7 (R) , PSEUDO 8, PSEUDO 9, PSEUDO 10, PSEUDO 11 (R) , PSEUDO 12, PSEUDO 13, PSEUDO 14, PSEUDO 15, PSEUDO 16, PSEUDO 17, PSEUDO 18, PSEUDO 19, PSEUDO 20, PSEUDO 21, PSEUDO 22, PSEUDO 23, PSEUDO 24 (R) , PSEUDO 25 (R) , PSEUDO 26, PSEUDO 27 (R) , PSEUDO 28, PSEUDO 29, PSEUDO 30, PITS-PSEUDO 1, PITS-PSEUDO 2, PITS-PSEUDO 3, PITS-PSEUDO 4, PITS-PSEUDO 5, PITS-PSEUDO 6, PITS-PSEUDO 7, PITS-PSEUDO 8, PITS-PSEUDO 9, PITS-PSEUDO 10, IAS-PSEUDO 1 (R) , IAS-PSEUDO 2, IAS-PSEUDO 3, IAS-PSEUDO 4 (R) , IAS-PSEUDO 5 (R) , IAS-PSEUDO 6, GIS-PSEUDO 1, GIS-PSEUDO 2, GIS-PSEUDO 3 (R) , GIS-PSEUDO 4 (R) , GIS-PSEUDO 5, GIS-PSEUDO 6 (R) , GIS-PSEUDO 7, GIS-PSEUDO 8 (R) , GIS-PSEUDO 9, GIS-PSEUDO 10 (R) , GIS-PSEUDO 11 (R) , GIS-PSEUDO 12,SDQ-PSEUDO 1 (R),SDQ-PSEUDO 2,SDQ-PSEUDO 3,SDQ-PSEUDO 4 (R),SDQ-PSEUDO 5,SDQ-PSEUDO 6 (R),SDQ-PSEUDO 7,SDQ-PSEUDO 8,SDQ-PSEUDO 9
1,45,Male,University,español,Non-practicing religious,6,1,3,1,2,2,5,4,5,4,1,5,4,3,2,1,5,1,2,2,1,1,1,1,4,5,1,4,1,4,1,4,4,2,1,4,2,4,4,3,2,2,3,3,4,3,3,2,2,3,2,1,2,6,5,5,2,3,4,2,5,6,4,6,3,5,6,5
1,37,Male,University,Española,Atheist,3,1,1,1,5,2,1,4,1,2,1,5,1,4,1,1,3,1,4,1,1,2,1,2,4,5,1,5,1,2,1,4,4,4,2,4,3,4,2,3,2,3,1,2,4,3,1,5,1,2,5,1,2,4,6,4,2,1,5,2,6,6,2,6,5,6,6,5
1,47,Male,Pre-University,ESPAÑOLA,Atheist,3,1,1,1,5,1,1,5,1,1,1,5,1,3,1,1,3,1,1,1,3,1,3,1,4,1,1,5,1,5,1,1,1,1,1,1,1,5,1,1,1,3,2,1,4,3,3,2,1,2,6,1,6,3,5,3,1,3,5,4,5,6,1,7,4,4,7,7
1,22,Male,University,Española,Agnostic,2,1,1,1,5,1,1,5,1,2,1,5,2,1,2,1,1,1,1,1,4,3,3,1,4,5,2,5,1,3,1,5,5,5,5,5,3,5,4,3,3,1,3,2,3,1,3,4,5,1,2,5,2,5,2,5,1,1,6,3,4,5,2,7,4,4,7,7
1,52,Male,University,Española,Religious,3,1,1,3,5,3,1,3,1,2,2,5,2,5,1,1,3,1,5,1,1,1,3,1,3,5,2,5,3,4,1,5,5,3,4,5,3,4,4,5,3,1,2,1,1,3,1,4,4,3,2,3,2,5,3,4,2,1,5,2,6,6,2,6,4,6,6,6
1,34,Male,University,Catalana,Agnostic,7,1,1,1,1,2,1,5,1,2,1,5,1,4,1,1,3,1,3,1,3,1,2,2,5,5,1,5,2,2,1,4,5,4,4,5,4,5,4,3,5,1,4,3,2,1,3,4,3,4,2,4,4,5,3,4,2,1,4,1,7,7,4,7,2,7,7,7
1,41,Male,University,Española,Agnostic,3,1,1,2,5,2,4,4,1,1,1,5,1,4,1,1,1,1,1,1,1,1,1,1,4,5,1,5,3,1,1,5,5,4,5,5,2,4,4,4,1,2,3,3,1,1,3,3,2,2,4,3,4,2,5,2,2,1,5,2,4,4,2,6,3,5,5,7
1,33,Male,University,Española,Atheist,6,1,3,2,5,3,2,3,2,2,1,5,1,4,3,1,3,1,3,1,1,2,3,1,4,4,1,5,1,2,1,4,4,3,4,4,2,4,2,4,2,1,2,2,3,1,2,4,4,2,4,2,2,4,2,4,2,4,4,2,5,5,3,5,4,5,5,6
1,55,Female,University,ESPAÑOLA,Atheist,2,2,4,5,5,1,1,5,5,5,5,5,1,2,5,5,1,5,1,5,1,5,4,1,4,5,5,5,1,3,5,4,5,5,5,5,4,5,5,5,5,1,3,1,3,1,3,5,6,1,3,4,1,6,2,2,1,1,6,1,7,6,1,7,4,6,6,7
1,42,Male,University,Español,Atheist,4,1,1,2,5,5,1,5,1,1,1,5,1,1,1,2,2,2,1,1,2,1,1,1,5,5,1,5,2,1,1,5,5,5,5,5,5,5,5,5,5,1,2,2,3,2,2,5,4,1,2,4,3,6,2,5,2,1,5,2,6,6,4,7,4,7,7,6
1,41,Male,University,española,Atheist,2,2,1,1,1,1,1,5,1,2,1,4,1,4,1,1,2,5,1,1,2,1,1,1,4,5,1,5,1,1,1,4,5,4,5,5,4,5,4,5,5,1,2,2,3,1,1,4,5,2,2,4,1,5,3,5,4,1,5,2,5,7,3,7,2,6,6,5
2,66,Female,University,Española,Agnostic,5,4,4,4,3,3,4,2,4,4,4,4,4,4,4,2,3,4,3,1,3,4,3,3,3,4,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,4,4,3,3,3,4,4,6,4,2,3,4,3,3,2,4,4,3,2,2,3
1,43,Male,University,italiana,Agnostic,5,2,2,4,1,3,1,3,1,2,1,5,3,4,3,2,4,1,1,1,2,3,2,1,4,4,3,1,2,4,1,3,4,4,4,2,4,4,4,4,4,3,1,1,3,3,2,3,2,3,3,2,5,2,5,2,1,3,4,3,5,6,4,7,3,5,6,5
1,39,Male,University,Catalunya,Agnostic,4,2,4,3,5,2,2,4,1,2,4,5,1,4,2,1,3,5,4,1,2,3,3,3,4,4,1,5,1,3,1,3,4,3,5,4,2,3,2,2,2,2,3,3,3,2,3,5,4,2,1,5,3,2,3,5,1,1,6,5,4,3,6,2,5,3,2,2
1,29,Male,University,Española,Atheist,2,2,2,3,1,1,2,4,1,4,1,5,1,4,1,1,3,1,2,1,2,1,1,1,3,5,1,5,1,3,1,4,5,5,5,5,4,4,2,3,2,2,3,2,4,3,2,4,5,2,3,3,3,6,4,5,2,2,5,3,3,4,2,6,3,4,7,5
1,38,Male,University,Española,Atheist,3,2,1,1,5,1,1,5,1,3,1,5,1,3,1,1,1,1,2,1,1,1,3,2,4,5,1,5,1,2,1,4,5,4,4,5,4,4,4,4,4,2,2,1,3,3,2,4,3,3,4,3,3,4,5,3,3,3,4,2,6,5,2,7,3,6,6,6
1,55,Male,Pre-University,Argentina ,Atheist,10,5,5,1,1,5,5,1,1,1,1,1,5,5,1,1,1,1,5,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,1,1,1,4,6,6,6,1,6,1,6,1,6,1,1,6,1,7,7,7,7,1,7,7,7
1,35,Male,University,Española,Atheist,2,1,1,1,5,1,1,5,1,1,1,5,1,3,3,1,3,1,3,1,1,1,3,1,5,5,1,5,2,2,1,5,5,5,4,5,2,4,5,5,3,3,3,2,3,3,2,5,3,3,3,4,2,1,3,4,1,4,5,2,5,5,2,7,3,6,7,7
1,39,Female,University,Española,Atheist,4,3,4,2,4,3,2,3,3,3,2,5,1,4,5,2,3,1,3,2,1,1,4,1,3,4,1,5,1,3,1,3,4,2,3,4,2,4,3,4,3,1,2,2,2,1,2,5,3,2,4,1,3,1,4,4,2,5,1,3,5,5,3,4,3,5,3,4
2,21,Male,University,Española,Non-practicing religious,5,1,3,4,4,1,3,4,2,1,4,4,2,4,2,3,3,1,3,1,4,2,1,2,4,4,3,5,3,2,1,3,3,4,2,3,2,3,3,2,2,1,2,2,1,1,3,4,4,3,3,4,5,3,5,3,5,3,4,3,5,5,4,5,3,5,5,4
1,40,Male,University,Española,Agnostic,3,1,4,2,1,3,2,3,1,1,1,4,1,4,1,1,3,2,2,1,2,2,1,2,2,1,2,5,2,3,1,4,5,3,4,4,4,4,3,3,2,1,4,3,2,2,1,2,1,3,5,1,6,2,5,2,2,2,4,2,3,5,2,6,4,4,2,6
1,37,Male,Pre-University,Española,Atheist,5,1,1,1,5,1,1,5,1,1,1,5,1,4,2,1,3,1,2,4,3,3,1,1,3,5,1,5,1,3,1,5,4,4,5,4,4,4,4,4,4,2,2,2,2,2,2,5,5,1,3,5,3,5,4,5,2,2,5,2,6,6,2,7,4,7,7,7
1,42,Male,Pre-University,España,Atheist,8,5,4,5,2,2,3,4,2,2,1,5,1,5,3,1,3,1,5,1,5,4,2,1,5,5,3,4,2,1,1,5,3,3,5,5,3,3,3,3,3,1,3,2,3,2,2,3,2,3,2,3,3,2,5,5,4,4,6,2,6,6,2,6,2,6,4,5
1,38,Male,University,Española,Atheist,3,1,2,3,5,2,1,4,1,2,2,4,2,3,1,2,2,2,2,1,2,1,2,2,4,4,2,5,3,2,1,4,5,4,4,4,2,5,4,4,2,3,2,1,3,3,1,4,4,1,4,4,2,5,5,4,1,2,5,2,6,6,4,7,3,5,7,6
1,49,Male,University,Española,Non-practicing religious,3,1,2,2,5,2,1,5,1,2,1,5,1,5,1,4,1,1,2,1,4,1,1,1,3,5,1,1,3,3,1,4,5,4,4,5,2,4,4,4,3,2,3,1,3,3,2,5,5,2,2,5,2,4,3,5,5,2,5,1,7,7,4,7,2,7,7,7
1,41,Male,University,Española,Atheist,4,1,2,2,5,3,1,4,1,2,1,5,1,4,3,1,3,1,2,1,3,2,3,1,3,4,1,5,2,4,1,4,5,3,4,1,2,4,3,3,2,2,2,1,3,2,1,4,3,2,3,2,3,5,5,4,2,1,4,3,2,4,3,1,1,3,1,2
1,41,Male,University,española,Agnostic,6,1,1,3,5,2,2,4,2,2,1,5,1,4,2,2,3,1,2,1,3,2,3,2,4,4,2,5,1,4,1,5,4,4,5,5,4,4,5,4,4,1,4,2,1,1,3,5,4,2,2,2,4,4,5,3,4,4,5,2,6,6,2,6,2,6,2,7
1,35,Male,University,Española,Atheist,2,1,1,2,5,1,1,4,1,4,1,4,1,4,1,1,1,2,3,1,2,2,3,1,2,5,1,5,3,4,1,5,5,4,5,4,3,5,3,4,3,1,2,1,4,2,2,5,6,2,2,4,2,5,5,6,1,2,5,2,6,5,1,7,3,6,6,6
1,31,Male,Pre-University,Española,Atheist,4,2,3,1,5,1,1,4,2,2,1,4,1,3,1,1,4,1,1,1,2,2,3,1,2,5,1,5,2,3,1,5,5,5,2,4,1,4,4,3,1,3,2,2,3,2,4,4,4,3,5,4,5,5,5,3,2,1,5,2,4,5,2,6,5,4,7,6
1,26,Male,University,Española,Non-practicing religious,4,5,4,3,1,3,4,3,1,2,3,5,3,4,4,1,3,1,3,1,1,3,3,2,3,5,3,4,3,4,2,3,3,4,4,4,3,3,4,4,4,2,1,2,2,2,2,3,1,1,2,2,6,4,6,4,1,2,4,4,4,4,4,4,4,4,4,4
1,46,Male,University,española,Non-practicing religious,6,1,3,2,5,4,1,4,2,3,1,5,2,4,3,2,3,1,3,1,3,1,4,3,3,4,1,4,3,4,1,4,4,3,3,5,2,4,4,3,4,1,3,3,1,1,3,2,3,4,2,2,2,1,4,2,1,1,4,2,5,5,7,6,3,5,6,6
1,52,Male,University,Gallega,Atheist,3,2,1,1,5,4,1,4,1,2,1,5,1,2,1,2,3,1,1,1,2,1,3,1,3,5,1,5,2,4,1,4,4,4,4,4,4,2,2,4,2,2,1,1,3,3,1,2,2,2,5,2,5,1,5,3,2,2,2,3,5,6,2,6,2,6,6,6
1,35,Male,University,España,Atheist,2,2,3,3,5,3,1,5,1,3,1,5,1,4,1,1,3,1,2,1,1,2,1,2,4,4,1,5,2,3,1,5,5,5,5,5,5,5,5,5,5,1,3,2,4,1,4,5,5,2,2,5,2,5,2,5,2,2,5,1,7,7,1,7,1,7,7,7
1,52,Male,University,Española,Agnostic,2,1,1,1,5,1,1,5,1,3,1,5,1,4,1,1,1,1,3,1,2,1,1,1,2,5,1,5,3,4,1,5,5,4,4,4,4,5,3,5,3,1,3,2,2,1,4,5,3,3,3,3,5,4,6,4,2,1,5,1,7,7,2,6,2,6,6,6
1,28,Male,Pre-University,Española,Atheist,3,1,1,1,5,1,1,5,1,3,1,5,1,4,1,1,1,1,1,1,1,1,2,1,5,5,1,5,1,2,1,5,5,4,4,1,3,4,4,3,3,1,4,2,2,1,3,2,3,2,3,4,4,5,2,4,1,1,5,3,5,4,5,3,4,5,3,3
1,29,Male,University,Spanish,Atheist,3,1,3,3,5,1,2,2,2,2,1,4,1,5,2,3,2,1,2,1,2,2,2,1,4,5,3,1,2,2,1,4,5,2,3,3,2,4,2,4,2,3,2,4,3,2,4,3,4,2,5,5,4,4,5,5,2,2,5,2,6,6,4,6,4,6,6,4
1,32,Male,University,España,Atheist,2,4,3,4,4,3,4,3,2,2,4,5,3,4,3,3,4,1,4,1,3,3,4,4,2,5,3,4,4,5,2,5,4,2,3,4,2,4,3,4,2,2,2,2,3,3,2,2,1,3,4,1,2,2,5,4,1,2,4,2,4,6,4,4,3,5,2,3
1,41,Male,University,Española,Atheist,1,1,1,1,5,1,1,5,1,1,1,5,1,4,1,1,1,1,1,1,1,1,3,1,5,5,1,5,1,1,1,5,5,5,5,5,5,5,5,5,5,3,1,1,4,2,2,6,5,2,1,5,1,6,5,6,6,1,6,6,6,7,5,7,5,6,7,7
1,50,Male,Pre-University,Español,Agnostic,7,4,3,3,5,3,1,5,1,3,1,5,2,3,3,2,3,1,3,1,2,1,2,1,3,5,2,5,2,3,1,4,4,3,5,4,2,5,3,4,2,2,1,1,1,2,2,4,4,3,4,1,1,2,6,5,4,3,4,2,5,5,2,6,3,5,3,5
2,29,Male,Pre-University,España,Atheist,3,2,3,3,3,4,3,2,2,3,1,4,3,3,3,2,4,5,3,1,2,4,4,3,3,5,3,1,4,4,2,4,4,4,4,4,4,4,3,4,3,2,2,2,2,2,2,4,5,4,4,4,4,4,4,4,4,4,5,3,5,5,2,6,3,6,2,5
1,37,Male,University,española,Agnostic,2,1,1,1,1,1,1,5,1,1,1,5,2,2,1,1,3,1,2,1,2,1,3,1,5,5,2,1,1,2,1,1,5,1,2,5,1,1,1,5,1,2,3,2,4,3,1,1,3,3,1,1,1,5,4,3,1,1,4,1,7,7,4,7,1,7,7,7
1,39,Male,University,española,Atheist,3,1,1,3,5,3,2,2,1,3,1,4,1,4,2,1,2,1,1,1,1,3,1,1,3,5,1,5,2,5,1,5,5,4,3,5,2,4,4,4,3,3,2,1,2,3,2,4,4,1,1,1,2,4,4,6,1,1,6,1,5,7,4,7,2,5,7,7
1,38,Male,University,Española,Atheist,3,1,1,1,5,1,1,5,1,1,1,4,1,4,1,1,3,1,1,1,2,2,1,1,1,3,1,5,1,2,1,5,5,5,5,5,4,4,4,4,4,1,3,1,4,1,2,3,2,2,5,3,2,5,5,4,1,2,5,1,6,5,4,7,4,6,7,7
1,47,Male,University,argentina,Agnostic,3,1,1,1,5,1,2,3,2,3,1,4,1,3,3,1,3,2,3,1,2,1,3,1,4,5,1,5,1,3,1,5,5,5,5,5,5,5,5,5,5,1,3,2,1,1,2,5,5,4,1,5,3,6,4,5,4,2,6,1,7,7,1,7,1,7,7,7
1,39,Male,Pre-University,español,Atheist,3,1,3,3,5,1,1,5,1,1,1,4,1,4,3,2,3,3,1,1,3,2,1,1,5,5,1,5,1,3,1,4,4,4,4,4,4,4,4,4,4,1,2,1,4,2,1,4,4,3,1,4,3,4,6,5,1,3,5,4,5,5,3,6,2,5,4,6
1,36,Male,University,Española,Religious,7,1,1,1,5,2,1,3,1,1,2,5,2,5,2,2,4,1,3,1,2,1,2,1,4,2,2,5,2,2,1,4,4,4,3,5,3,3,3,3,3,3,3,2,3,2,3,5,5,4,2,3,5,2,4,5,2,2,4,3,5,5,5,6,3,5,6,6
1,29,Male,University,Español,Agnostic,2,1,1,1,5,3,1,3,1,1,1,5,1,4,1,1,3,1,4,5,1,1,2,1,3,5,1,5,2,4,1,5,5,5,4,5,3,5,4,3,2,3,2,2,3,3,2,4,3,1,1,1,3,2,6,4,1,1,4,1,4,4,3,6,4,5,4,7
1,38,Male,University,Española,Atheist,1,2,2,1,5,1,1,5,1,1,1,5,1,5,1,1,1,1,3,1,3,1,1,1,4,5,1,5,1,2,1,5,5,5,5,5,4,5,4,5,4,3,2,2,4,4,3,5,5,4,6,4,2,4,4,6,1,4,4,1,6,6,4,6,3,5,5,7
1,33,Male,University,Española,Atheist,4,1,1,3,5,1,1,5,1,2,1,5,1,4,1,1,1,1,1,2,2,1,1,1,5,4,1,5,1,2,1,5,5,5,5,5,5,5,5,5,5,3,2,1,3,3,2,4,4,4,4,4,2,6,5,5,1,4,5,1,7,7,1,7,1,7,7,7
1,52,Male,University,Española,Atheist,2,4,4,3,5,3,3,3,1,3,1,5,3,4,3,1,4,1,2,1,2,3,3,1,1,4,2,4,4,4,1,5,5,5,5,5,5,3,3,3,3,2,1,2,3,2,3,4,3,2,2,4,4,5,3,4,4,2,5,1,6,3,1,7,3,3,7,6
1,45,Female,Pre-University,Española,Atheist,4,1,1,1,5,2,1,5,1,1,1,5,1,3,2,1,1,1,1,1,3,1,1,1,4,5,1,5,2,2,1,5,5,3,5,5,2,2,2,4,4,2,4,3,2,2,3,3,2,3,3,3,1,4,3,1,2,3,3,1,4,7,2,7,3,6,6,7
1,43,Male,University,Española,Non-practicing religious,8,2,3,2,5,3,2,4,1,2,1,5,1,4,1,2,3,1,3,1,1,2,1,1,3,5,1,5,1,4,1,4,4,4,4,3,3,4,3,4,3,3,1,1,3,3,1,2,2,2,5,4,2,5,5,4,2,2,4,1,6,6,6,6,3,6,6,5
1,49,Male,University,Española,Atheist,4,1,1,1,5,4,1,5,1,1,1,5,1,4,1,1,2,1,1,1,1,1,1,1,4,5,1,5,1,2,1,5,5,5,5,5,4,5,5,5,4,1,4,2,1,1,3,3,2,3,2,5,3,4,5,5,5,6,2,2,6,6,2,6,3,6,6,6
1,42,Male,University,Espaniola,Atheist,2,1,1,3,1,1,1,5,1,2,1,5,1,4,1,1,5,1,3,2,3,2,2,2,5,5,1,1,1,1,1,5,5,4,5,5,3,4,4,4,4,3,4,1,4,1,3,6,5,5,1,4,4,5,5,5,1,1,6,1,5,6,1,7,1,6,4,4
1,49,Male,Pre-University,española,Agnostic,2,4,4,2,5,1,1,5,1,2,1,5,1,4,1,1,4,1,4,1,1,1,1,1,5,4,1,5,2,1,1,3,4,3,4,2,4,4,3,4,2,3,3,2,2,3,3,2,4,2,2,2,4,2,2,5,2,2,4,2,6,5,3,6,3,5,5,6
1,32,Male,University,Española,Atheist,2,1,1,1,5,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,4,5,1,5,1,2,1,5,5,5,5,5,5,5,4,2,2,1,2,1,1,4,2,5,3,1,1,4,2,3,1,4,1,1,6,1,5,5,2,7,1,6,7,7
1,54,Male,University,español,Agnostic,5,1,1,2,5,1,1,5,1,2,1,5,1,5,1,1,3,1,1,1,1,1,1,3,4,5,1,5,1,2,1,5,5,4,5,5,4,5,5,5,5,1,2,1,1,2,3,5,5,2,2,5,2,4,4,5,1,2,5,1,6,6,4,7,2,5,7,7
1,38,Male,University,Español,Religious,6,3,3,3,5,1,3,3,2,2,2,4,2,2,2,2,3,1,3,1,3,2,3,1,4,4,1,5,3,1,1,3,4,3,4,3,2,3,3,2,3,2,2,2,3,3,2,4,4,2,2,3,2,4,4,4,3,4,5,3,5,5,3,5,4,3,5,5
1,31,Male,Pre-University,Español,Atheist,2,1,1,4,5,2,1,4,1,2,2,5,1,3,1,1,3,1,1,1,4,1,2,2,2,5,2,5,2,5,1,4,5,5,5,5,5,5,5,5,5,1,4,3,1,1,3,5,5,3,1,5,2,4,3,6,1,1,6,1,6,6,1,7,3,7,7,6
1,49,Male,Pre-University,española,Agnostic,4,2,3,3,4,3,2,3,1,4,2,5,2,4,2,2,3,1,3,1,2,2,3,2,4,4,2,2,2,2,2,4,4,4,4,2,2,4,2,4,2,1,2,2,1,3,1,2,2,3,5,2,4,2,5,2,2,2,4,2,5,5,3,6,3,5,5,6
1,45,Male,University,española,Atheist,4,1,2,1,5,1,1,5,1,1,1,5,1,4,1,1,1,1,1,1,4,2,1,1,4,5,1,5,4,2,1,5,5,5,5,5,5,5,5,5,5,2,1,1,4,4,1,5,5,5,5,5,3,5,5,5,5,3,5,1,6,2,5,7,2,6,2,7
1,34,Male,Pre-University,Española,Atheist,1,1,1,1,5,1,1,5,1,1,1,5,1,5,1,1,3,1,1,1,1,1,1,1,5,5,1,5,2,5,1,4,5,4,3,5,3,5,1,4,1,1,4,3,4,1,4,5,6,1,1,2,5,5,5,6,3,1,6,1,7,7,2,7,3,7,7,4
1,22,Male,University,España,Atheist,1,1,1,1,5,1,1,5,1,1,1,5,1,1,2,1,1,1,1,1,4,1,1,1,4,5,1,5,1,2,1,5,5,5,5,5,2,4,2,5,2,1,2,2,2,3,3,5,5,1,3,5,2,5,2,4,2,1,6,2,5,2,4,6,3,4,7,5
2,46,Male,Pre-University,Española,Atheist,4,2,1,1,5,1,1,4,1,2,1,4,2,4,1,2,1,1,2,1,2,1,3,1,4,5,1,5,2,3,1,4,4,3,4,4,3,3,3,4,3,1,2,2,3,3,2,4,3,2,4,2,4,4,5,3,2,3,4,3,4,5,4,6,4,5,6,6
1,50,Female,University,Española,Agnostic,3,2,2,1,5,1,2,5,5,2,5,5,2,4,5,1,2,1,1,1,4,2,2,1,4,4,1,5,2,2,1,3,4,3,4,4,5,4,4,4,4,1,2,2,1,1,2,1,5,2,3,4,2,4,3,5,2,2,5,2,5,5,2,7,4,6,7,4
1,33,Male,University,Espanol,Atheist,1,1,3,2,5,2,1,2,1,3,1,5,3,4,2,1,3,1,2,1,2,1,3,1,1,5,1,5,1,4,1,5,5,5,5,5,5,5,5,5,5,1,3,2,3,3,1,4,5,2,2,6,4,5,6,5,2,2,5,1,7,7,3,6,2,6,7,7
1,36,Male,University,Española,Atheist,6,4,3,4,5,4,3,3,1,1,4,5,4,4,4,1,3,1,4,1,4,2,3,4,2,5,4,5,2,5,1,5,4,4,5,5,5,5,5,4,4,3,2,1,3,3,1,4,4,3,4,3,4,2,3,5,3,2,4,2,6,6,1,7,2,6,6,6
1,29,Male,University,España,Atheist,1,3,2,1,5,2,2,3,1,3,1,5,2,4,1,1,1,1,4,1,1,1,1,1,3,3,1,5,1,2,1,4,5,4,5,4,4,3,2,3,5,2,1,2,3,3,1,4,4,1,4,2,3,1,5,1,1,3,4,1,7,7,1,7,1,7,7,7
1,62,Male,University,Española,Religious,5,1,3,1,5,3,1,4,1,3,3,4,1,3,3,1,2,1,2,3,1,1,1,1,5,5,1,5,1,1,1,2,4,3,4,4,2,5,4,4,4,1,3,2,2,2,3,3,2,4,2,3,5,4,4,3,2,2,2,3,5,5,4,7,4,5,3,6
1,50,Male,Pre-University,Español,Atheist,6,1,1,3,5,1,1,5,1,1,1,5,1,3,1,1,2,1,1,5,5,1,1,1,5,5,1,1,1,2,1,5,5,4,4,3,1,4,4,4,2,1,2,3,1,1,2,5,4,1,2,4,1,4,2,5,4,1,5,1,6,6,4,5,4,4,6,4
1,42,Male,University,Española,Atheist,1,1,2,1,5,4,1,1,1,1,1,5,1,4,1,1,3,5,3,1,4,1,1,1,4,5,1,5,1,4,1,4,5,3,3,4,3,4,4,4,4,3,2,1,2,3,3,2,2,2,5,2,4,2,5,2,3,4,2,2,4,6,2,6,5,2,6,6
1,35,Male,Pre-University,Española,Atheist,2,1,3,2,5,2,1,5,1,1,1,5,1,5,1,1,1,1,2,1,2,1,2,1,3,5,1,5,1,5,1,4,5,4,5,5,4,4,5,4,5,1,4,3,1,3,2,5,3,3,3,5,3,3,5,4,4,1,5,1,7,7,1,7,2,7,7,7
1,29,Male,University,Español,Atheist,2,3,3,1,5,3,1,3,1,3,1,5,3,5,1,1,3,1,4,1,1,1,3,4,5,5,1,5,1,3,1,3,5,5,5,5,5,5,5,5,5,1,4,2,4,1,3,4,4,3,2,2,3,3,5,4,2,3,4,1,7,7,1,7,1,7,7,7
1,29,Male,University,Español,Atheist,4,1,5,3,5,1,1,5,1,5,1,5,1,4,3,1,5,1,5,1,3,4,3,1,5,5,1,5,1,2,1,5,5,5,5,5,2,5,4,4,2,1,1,4,2,2,3,5,5,6,2,5,1,5,2,6,1,1,6,1,7,7,1,7,1,7,7,7
1,38,Female,University,española,Atheist,2,1,1,3,2,3,1,3,1,4,1,5,1,5,1,1,4,1,1,1,5,1,1,1,5,5,1,5,3,3,1,2,5,4,5,5,1,5,5,4,5,2,3,4,2,1,2,4,1,1,5,1,4,2,6,1,1,1,1,4,5,4,3,5,4,5,5,5
1,35,Male,University,Español,Agnostic,3,4,4,3,4,2,4,2,2,4,4,4,4,3,3,1,3,1,2,1,2,3,2,2,3,5,1,3,4,4,1,2,4,4,4,4,1,3,2,2,2,3,2,1,3,3,2,4,2,2,2,1,3,3,2,4,2,2,4,2,6,6,2,5,3,5,3,4
1,28,Male,University,Spanish,Agnostic,3,1,2,3,5,4,2,3,2,1,1,5,1,3,2,1,3,1,2,1,4,2,3,1,4,4,1,5,1,4,1,4,4,4,4,2,2,5,2,4,3,2,1,3,2,2,3,2,4,2,3,2,4,4,5,3,2,2,4,2,3,4,3,6,5,5,3,4
1,43,Male,Pre-University,Española,Atheist,3,2,3,1,5,2,1,5,1,1,1,5,1,4,2,1,3,2,2,1,4,1,1,1,5,5,1,5,1,4,1,4,5,4,4,5,3,4,3,4,2,1,3,2,4,3,1,4,4,2,2,5,3,5,5,3,3,1,5,1,5,6,1,7,4,6,6,7
1,37,Male,University,española,Agnostic,4,2,1,1,5,2,2,5,1,2,5,5,1,3,2,2,1,1,1,1,1,1,2,1,4,5,1,5,1,2,1,5,5,5,4,5,4,4,3,4,4,3,2,1,4,3,2,4,4,2,3,4,1,5,5,4,2,3,5,2,5,6,4,6,3,6,6,6
1,24,Male,Pre-University,España,Atheist,1,1,1,3,5,1,1,5,1,1,1,5,1,5,5,1,1,1,5,1,1,1,1,1,5,5,1,5,1,2,1,5,5,5,5,5,1,4,1,1,1,1,4,1,3,2,1,4,3,2,4,4,5,6,1,4,1,1,6,1,7,7,4,7,4,6,3,7
1,37,Female,Pre-University,Española,Agnostic,4,4,5,4,5,1,5,2,4,2,1,5,4,5,2,2,4,1,3,1,2,3,2,2,3,5,1,2,4,5,1,5,5,4,5,5,2,3,3,3,4,3,2,1,2,2,2,4,4,1,1,4,2,5,6,5,1,1,5,3,6,5,4,7,4,6,5,7
1,27,Male,University,Español,Atheist,2,1,1,3,5,5,5,1,2,2,1,5,1,5,2,1,4,1,4,1,1,1,1,1,4,4,1,5,1,3,1,3,4,3,4,5,2,2,2,2,2,3,3,3,2,3,1,3,4,2,2,1,2,5,6,4,1,1,2,2,4,4,2,6,4,4,5,4
1,43,Male,Pre-University,española,Atheist,5,3,3,3,5,1,1,5,1,3,4,5,1,4,1,2,3,1,3,1,5,1,1,1,3,5,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,1,3,1,1,2,4,3,5,1,1,3,1,5,1,5,1,1,5,1,7,7,1,7,4,7,7,7
1,48,Male,University,Española,Atheist,3,1,1,1,5,1,1,5,1,2,1,5,1,3,1,1,3,1,1,1,3,1,1,1,5,5,1,1,1,2,1,5,4,3,5,5,4,4,4,4,3,1,3,3,2,2,2,4,6,2,4,4,2,5,2,5,4,2,5,1,4,5,3,5,4,6,7,6
